Server Count,Client Count,Avg Through Put(txn/s),Trade Volume,Account Count,Product Count,Trade Days,Sitesperhost,Kfactor,Temtablesize,Date
1,1,56249,500000,6,100,5,6,0,2048,2014-01-28 01:07:38
3,1,94161,500000,6,100,5,6,0,2048,2014-01-28 01:10:29
3,1,93127,500000,6,100,5,6,0,2048,2014-01-28 01:17:44
2,1,83710,500000,6,100,5,6,0,2048,2014-01-28 01:19:01
1,1,68634,500000,6,100,5,6,0,2048,2014-01-28 01:20:19
3,1,110479,25000000,6,100,5,6,0,2048,2014-01-28 01:31:08
3,1,104431,25000000,6,100,5,6,0,2048,2014-01-28 01:41:28
2,1,97196,25000000,6,100,5,6,0,2048,2014-01-28 01:46:59
3,1,70982,250000,6,100,5,6,0,2048,2014-01-28 01:58:33
2,1,75895,250000,6,100,5,6,0,2048,2014-01-28 01:59:49
1,1,51166,250000,6,100,5,6,0,2048,2014-01-28 02:01:07
3,1,105104,25000000,6,100,5,6,0,2048,2014-01-28 02:07:12
2,1,96808,25000000,6,100,5,6,0,2048,2014-01-28 02:12:44
1,1,57295,25000000,6,100,5,6,0,2048,2014-01-28 02:21:18
3,1,96183,2500000,6,100,5,6,0,2048,2014-01-28 02:39:30
3,1,105855,2500000,6,100,5,6,0,2048,2014-01-28 02:42:58
3,1,103885,2500000,6,100,5,6,0,2048,2014-01-28 02:46:35
3,1,107921,2500000,6,100,5,6,0,2048,2014-01-28 03:06:44
